dataset_name,file_path,category,file_name,has_error
DAppSCAN,DAppSCAN-main/DAppSCAN-source/contracts/consensys-pSTAKE Finance/pStake-smartContracts-ca3e035454dc565a762a1cc03fdd99c7bf52da37/contracts/LiquidStakingV2.sol,consensys-pSTAKE Finance,LiquidStakingV2.sol,True
DAppSCAN,DAppSCAN-main/DAppSCAN-source/contracts/consensys-pSTAKE Finance/pStake-smartContracts-ca3e035454dc565a762a1cc03fdd99c7bf52da37/contracts/STokensV2.sol,consensys-pSTAKE Finance,STokensV2.sol,True
DAppSCAN,DAppSCAN-main/DAppSCAN-source/contracts/QuillAudits-Crazy Snake Smart Contract/CrazyToken-489ae9dab8eb5ba684fa1c7dbbd803c9db52dc9d/contracts/CrazyToken.sol,QuillAudits-Crazy Snake Smart Contract,CrazyToken.sol,True
DAppSCAN,DAppSCAN-main/DAppSCAN-source/contracts/Chainsulting-Oiler Network-project2/oiler-staking-contracts-master/contracts/Staking.sol,Chainsulting-Oiler Network-project2,Staking.sol,True
DAppSCAN,DAppSCAN-main/DAppSCAN-source/contracts/QuillAudits-BollyStake Smart Contract (new)/code/Bollystake.sol,QuillAudits-BollyStake Smart Contract (new),Bollystake.sol,True
DAppSCAN,DAppSCAN-main/DAppSCAN-source/contracts/Byterocket-RealityCards v1[05.19.2020]/RealityCards-Contracts-aad8ea70696d848e2fcb55b7932c7ba37b8f239e/contracts/RealityCards.sol,Byterocket-RealityCards v1[05.19.2020],RealityCards.sol,True
DAppSCAN,DAppSCAN-main/DAppSCAN-source/contracts/Runtime_Vеrification-stakefish_ethereum_staking_audit_report/eth2-validation-services-contract-d91928f3a270f6115831fe3a21a69eb98bf57b26/contracts/StakefishServicesContract.sol,Runtime_Vеrification-stakefish_ethereum_staking_audit_report,StakefishServicesContract.sol,True
DAppSCAN,DAppSCAN-main/DAppSCAN-source/contracts/Runtime_Vеrification-stakefish_ethereum_staking_audit_report/eth2-validation-services-contract-d91928f3a270f6115831fe3a21a69eb98bf57b26/contracts/StakefishERC721Wrapper.sol,Runtime_Vеrification-stakefish_ethereum_staking_audit_report,StakefishERC721Wrapper.sol,True
DAppSCAN,DAppSCAN-main/DAppSCAN-source/contracts/ImmuneBytes-BonFi(Legendary)- Final Audit Report/code/Legendary_v9.sol,ImmuneBytes-BonFi(Legendary)- Final Audit Report,Legendary_v9.sol,True
DAppSCAN,DAppSCAN-main/DAppSCAN-source/contracts/PeckShield-Convex_Frax/frax-cvx-platform-2f8573ee796daa022c1050b4a749bf08049c439b/contracts/contracts/StakingProxyUniV3.sol,PeckShield-Convex_Frax,StakingProxyUniV3.sol,True
DAppSCAN,DAppSCAN-main/DAppSCAN-source/contracts/QuillAudits-Amplify voting Smart Contract/contracts-9dd44ac15cb66685a5beb038065f1673bcd6a8bb/Voting.sol,QuillAudits-Amplify voting Smart Contract,Voting.sol,True
DAppSCAN,DAppSCAN-main/DAppSCAN-source/contracts/QuillAudits-Yearn Finance-SNX/yearnV2-strat-SNX-staking-91b839df4a350d80cb583795bccafe0836fdb732/contracts/Strategy.sol,QuillAudits-Yearn Finance-SNX,Strategy.sol,True
DAppSCAN,DAppSCAN-main/DAppSCAN-source/contracts/Coinspect-Liquity Audit/dev-dd7f59b980e7dab1cebc84c017db3a2c4caa522c/packages/contracts/contracts/BorrowerOperations.sol,Coinspect-Liquity Audit,BorrowerOperations.sol,True
DAppSCAN,DAppSCAN-main/DAppSCAN-source/contracts/Trail_of_Bits-LiquityProtocolandStabilityPoolFinalReport/dev-8cec3fda04b8c71994dc14858386bf6a161164fc/packages/contracts/contracts/StabilityPool.sol,Trail_of_Bits-LiquityProtocolandStabilityPoolFinalReport,StabilityPool.sol,True
DAppSCAN,DAppSCAN-main/DAppSCAN-source/contracts/SlowMist-Booster-Protocol_智能安全审计报告/boosterProtocol-946b15629c410d706856584f3aa04001d6a55bd2/contracts/pools/ActionPools.sol,SlowMist-Booster-Protocol_智能安全审计报告,ActionPools.sol,True
DAppSCAN,DAppSCAN-main/DAppSCAN-source/contracts/SlowMist-Booster-Protocol_智能安全审计报告/boosterProtocol-946b15629c410d706856584f3aa04001d6a55bd2/contracts/strategies/StrategyUtils.sol,SlowMist-Booster-Protocol_智能安全审计报告,StrategyUtils.sol,True
DAppSCAN,DAppSCAN-main/DAppSCAN-source/contracts/SlowMist-Booster-Protocol_智能安全审计报告/boosterProtocol-946b15629c410d706856584f3aa04001d6a55bd2/contracts/strategies/StrategyMDex.sol,SlowMist-Booster-Protocol_智能安全审计报告,StrategyMDex.sol,True
DAppSCAN,DAppSCAN-main/DAppSCAN-source/contracts/SlowMist-Booster-Protocol_智能安全审计报告/boosterProtocol-946b15629c410d706856584f3aa04001d6a55bd2/contracts/utils/BuybackBooToken.sol,SlowMist-Booster-Protocol_智能安全审计报告,BuybackBooToken.sol,True
